seed,epoch,model,split,loss,accuracy,hidden_spike_rate,train_time_s,sparsity
7,8,SNN,test,0.8131799020767212,0.7485,0.1754093747138977,0.0,
7,9,ANN,train,0.20933276808261872,0.9456666666666667,,0.8275300627574325,
7,9,ANN,test,0.6139654150009155,0.8125,,0.0,0.3370703122615814
7,9,CNN,train,0.06514548848072688,0.9816666666666667,,1.2450285386294127,
7,9,CNN,test,0.4021628755331039,0.898,,0.0,0.5571445307731628
7,9,SNN,train,0.1736314299106598,0.9466666666666667,0.18002102903525036,6.377792889252305,
7,9,SNN,test,0.6767911534309388,0.8195,0.17481699156761168,0.0,
7,10,ANN,train,0.18719511477152506,0.9515833333333333,,7.341006698086858,
7,10,ANN,test,0.6155097365379334,0.8055,,0.0,0.34460937476158143
7,10,CNN,train,0.05172121547162533,0.9855,,1.7372528593987226,
7,10,CNN,test,0.3801717253923416,0.906,,0.0,0.5681250009536744
7,10,SNN,train,0.12350460684299469,0.966,0.1820596688191096,3.656690557487309,
7,10,SNN,test,0.6603977541923522,0.815,0.16910878992080688,0.0,
7,11,ANN,train,0.1680602389971415,0.9584166666666667,,0.8295815074816346,
7,11,ANN,test,0.6043010091781617,0.821,,0.0,0.34756249976158143
7,11,CNN,train,0.033897375027338666,0.9925833333333334,,1.2405416751280427,
7,11,CNN,test,0.4272703915834427,0.9075,,0.0,0.5599726567268372
7,11,SNN,train,0.10427098466952642,0.9725,0.17973352932929992,3.6446677362546325,
7,11,SNN,test,0.6513299102783203,0.8215,0.17681581950187683,0.0,
7,12,ANN,train,0.14950325659910838,0.9638333333333333,,0.809737334959209,
7,12,ANN,test,0.5939461851119995,0.8195,,0.0,0.3504414064884186
7,12,CNN,train,0.028368708138664562,0.993,,1.2640569740906358,
7,12,CNN,test,0.40857600915431974,0.903,,0.0,0.5604257822036743
7,12,SNN,train,0.09018602142731348,0.97675,0.18202441394329072,3.7088259551674128,
7,12,SNN,test,0.6713136777877807,0.822,0.17815195333957673,0.0,
7,13,ANN,train,0.13195796740055085,0.9696666666666667,,0.9153462182730436,
7,13,ANN,test,0.6013382067680358,0.827,,0.0,0.34857031202316285
7,13,CNN,train,0.02400775358080864,0.9939166666666667,,1.2487963233143091,
7,13,CNN,test,0.393424652338028,0.9115,,0.0,0.5681523447036743
7,13,SNN,train,0.07929111631711325,0.9783333333333334,0.1820395181576411,4.340430401265621,
7,13,SNN,test,0.6661321363449096,0.833,0.1753554699420929,0.0,
7,14,ANN,train,0.11796508844693501,0.973,,0.9996576253324747,
7,14,ANN,test,0.6013252439498902,0.823,,0.0,0.35064062452316286
7,14,CNN,train,0.01701250203947226,0.9964166666666666,,1.5109026934951544,
7,14,CNN,test,0.4373439322710037,0.903,,0.0,0.5629375009536743
7,14,SNN,train,0.07368790729840596,0.98125,0.18415615224838258,4.067637369967997,
7,14,SNN,test,0.6953080801963806,0.8265,0.17236328208446502,0.0,
7,15,ANN,train,0.10561180792252223,0.9765833333333334,,0.9304646411910653,
7,15,ANN,test,0.5948825268745422,0.8275,,0.0,0.3539570317268372
7,15,CNN,train,0.01143890230419735,0.9981666666666666,,1.1338496431708336,
7,15,CNN,test,0.43147684788703916,0.9105,,0.0,0.5610156245231629
7,15,SNN,train,0.061020409027735395,0.9835833333333334,0.18341347539424896,3.734329529106617,
7,15,SNN,test,0.6690709676742553,0.8335,0.18009668123722075,0.0,
13,1,ANN,train,1.0568087690671284,0.7121666666666666,,1.0357731124386191,
13,1,ANN,test,1.0991783266067505,0.6515,,0.0,0.1901679689884186
13,1,CNN,train,1.1064209322929381,0.6698333333333333,,1.068860774859786,
13,1,CNN,test,1.0810198993682862,0.6575,,0.0,0.43730859422683716
13,1,SNN,train,1.2732097783088685,0.55075,0.12330599002043406,3.591064509935677,
13,1,SNN,test,1.34871010017395,0.521,0.13297734344005585,0.0,
13,2,ANN,train,0.5676797765890758,0.8296666666666667,,0.9911033129319549,
13,2,ANN,test,0.9255587501525879,0.7015,,0.0,0.2249609373807907
13,2,CNN,train,0.5141580741405487,0.8455833333333334,,1.0935756769031286,
13,2,CNN,test,0.838784996509552,0.7305,,0.0,0.48847656297683717
13,2,SNN,train,0.8094487179120382,0.715,0.1375113276640574,3.9227945301681757,
13,2,SNN,test,1.2568391399383545,0.5695,0.12967792940139772,0.0,
13,3,ANN,train,0.4584882451693217,0.8624166666666667,,0.9582778289914131,
13,3,ANN,test,0.876906479358673,0.713,,0.0,0.2456484373807907
13,3,CNN,train,0.33914610028266906,0.8998333333333334,,1.1390692796558142,
13,3,CNN,test,0.688736620426178,0.7755,,0.0,0.4994335947036743
13,3,SNN,train,0.6403753524621327,0.78025,0.14020250582695007,4.1901107504963875,
13,3,SNN,test,1.081571997642517,0.6475,0.13836406219005584,0.0,
13,4,ANN,train,0.390489416996638,0.8841666666666667,,1.1439555967226624,
13,4,ANN,test,0.8438654246330262,0.722,,0.0,0.27482812452316285
13,4,CNN,train,0.24124432905515034,0.92875,,1.0649003656581044,
13,4,CNN,test,0.5759274530410766,0.822,,0.0,0.50894921875
13,4,SNN,train,0.4150673039754232,0.8665,0.14900839813550312,3.738304978236556,
13,4,SNN,test,0.990616771697998,0.685,0.1454822279214859,0.0,
13,5,ANN,train,0.33913080739974977,0.9013333333333333,,0.9425081433728337,
13,5,ANN,test,0.7757106981277466,0.754,,0.0,0.2839609375
13,5,CNN,train,0.1836765545407931,0.9439166666666666,,1.1571706729009748,
13,5,CNN,test,0.5487754826545715,0.8325,,0.0,0.51549609375
13,5,SNN,train,0.3154319328069687,0.898,0.15319375065962473,5.820337756536901,
13,5,SNN,test,0.9467781229019165,0.705,0.14688261783123016,0.0,
13,6,ANN,train,0.29643168981870016,0.9131666666666667,,0.8421538192778826,
13,6,ANN,test,0.7598343172073364,0.7625,,0.0,0.2923125
