seed,epoch,model,split,loss,accuracy,hidden_spike_rate,train_time_s,sparsity
7,9,SNN,train,0.365837002158165,0.86875,0.20408893303076425,3.837243091315031,
7,9,SNN,test,0.49040372753143313,0.834,0.20341093957424164,0.0,
7,10,ANN,train,0.338310378074646,0.8855833333333333,,0.9377318946644664,
7,10,ANN,test,0.46504186725616453,0.834,,0.0,0.3026601560115814
7,10,CNN,train,0.2931026283105214,0.8964166666666666,,1.0661326851695776,
7,10,CNN,test,0.3658478970527649,0.877,,0.0,0.5339453115463256
7,10,SNN,train,0.3422276004155477,0.87175,0.20492434895038605,3.8736821031197906,
7,10,SNN,test,0.5095796065330506,0.8405,0.20165683579444885,0.0,
7,11,ANN,train,0.3311904474099477,0.8873333333333333,,1.3552814042195678,
7,11,ANN,test,0.4797104082107544,0.8325,,0.0,0.30465624952316284
7,11,CNN,train,0.27739932779471077,0.9011666666666667,,1.518028024584055,
7,11,CNN,test,0.3911676409244537,0.8565,,0.0,0.52884375
7,11,SNN,train,0.3474559268156687,0.8735,0.19921695963541666,4.561065188609064,
7,11,SNN,test,0.556192262172699,0.8135,0.19452207016944886,0.0,
7,12,ANN,train,0.32111679061253867,0.8881666666666667,,0.8134665973484516,
7,12,ANN,test,0.4398056230545044,0.842,,0.0,0.31234375
7,12,CNN,train,0.2651399343808492,0.9055833333333333,,1.0627923849970102,
7,12,CNN,test,0.362590247631073,0.871,,0.0,0.5240859379768371
7,12,SNN,train,0.34267889928817746,0.8735833333333334,0.2026673505703608,3.7594493394717574,
7,12,SNN,test,0.4947728319168091,0.835,0.20235800671577453,0.0,
7,13,ANN,train,0.30784450022379556,0.8944166666666666,,0.8328144066035748,
7,13,ANN,test,0.4594564542770386,0.846,,0.0,0.31299999976158144
7,13,CNN,train,0.2556350538333257,0.9078333333333334,,1.11350326705724,
7,13,CNN,test,0.348386369228363,0.8775,,0.0,0.536203125
7,13,SNN,train,0.31997213971614835,0.8824166666666666,0.20054244736830393,3.9847878254950047,
7,13,SNN,test,0.5150152869224548,0.8285,0.19649941515922548,0.0,
7,14,ANN,train,0.30076348094145455,0.89475,,0.8272103229537606,
7,14,ANN,test,0.43383466386795044,0.8465,,0.0,0.30933984327316283
7,14,CNN,train,0.24041468811035155,0.9130833333333334,,19.722734549082816,
7,14,CNN,test,0.35383151960372927,0.8785,,0.0,0.5325742177963256
7,14,SNN,train,0.31810324629147846,0.884,0.19825872377554576,3.707989878952503,
7,14,SNN,test,0.511852659702301,0.826,0.194333398103714,0.0,
7,15,ANN,train,0.29167962567011513,0.898,,1.0085517782717943,
7,15,ANN,test,0.44859594869613645,0.841,,0.0,0.31212109375
