seed,epoch,model,split,loss,accuracy,hidden_spike_rate,train_time_s,sparsity
7,1,ANN,train,0.8811989862918854,0.79225,,0.8430763063952327,
7,1,ANN,test,0.3667805254459381,0.9045,,0.0,0.15161328125
7,1,CNN,train,0.8589730057716369,0.7543333333333333,,1.2189517598599195,
7,1,CNN,test,0.2903374571800232,0.913,,0.0,0.4640664057731628
7,1,SNN,train,0.9408641520341238,0.6898333333333333,0.12606474649906158,4.518229810521007,
7,1,SNN,test,0.3445697274208069,0.8905,0.13796640586853026,0.0,
7,2,ANN,train,0.35720729676882423,0.9005,,0.9465408669784665,
7,2,ANN,test,0.2950079891681671,0.9175,,0.0,0.17370703113079072
7,2,CNN,train,0.25085236120223997,0.924,,1.441145003773272,
7,2,CNN,test,0.16846545767784118,0.9495,,0.0,0.47039843797683717
7,2,SNN,train,0.28643675621350606,0.91525,0.14112529285748798,9.14763706177473,
7,2,SNN,test,0.2224188141822815,0.9375,0.1436080071926117,0.0,
7,3,ANN,train,0.29031583917140963,0.91925,,0.9351794812828302,
7,3,ANN,test,0.25985502576828,0.9275,,0.0,0.19944921875
7,3,CNN,train,0.15717759027083714,0.95475,,1.366648592054844,
7,3,CNN,test,0.11870321935415268,0.9645,,0.0,0.47543749952316283
7,3,SNN,train,0.18202790981531144,0.9480833333333333,0.14695963497956593,3.755828281864524,
7,3,SNN,test,0.19721081805229188,0.9415,0.15857324147224428,0.0,
7,4,ANN,train,0.24792589513460794,0.9291666666666667,,0.8628138033673167,
7,4,ANN,test,0.24027624487876892,0.932,,0.0,0.21104687511920928
7,4,CNN,train,0.1118749391635259,0.9676666666666667,,1.3219074113294482,
7,4,CNN,test,0.09776666367053985,0.975,,0.0,0.47773046875
7,4,SNN,train,0.13675702091058095,0.9594166666666667,0.1532231119076411,3.7409832924604416,
7,4,SNN,test,0.1993254418373108,0.942,0.1539751946926117,0.0,
7,5,ANN,train,0.2159499963124593,0.9401666666666667,,1.1920369006693363,
7,5,ANN,test,0.22144817423820495,0.937,,0.0,0.22546874988079071
7,5,CNN,train,0.08882928320765496,0.9749166666666667,,1.1392612922936678,
7,5,CNN,test,0.08131899589300155,0.976,,0.0,0.490125
7,5,SNN,train,0.10990473691622415,0.9688333333333333,0.1527398432890574,3.8987597338855267,
7,5,SNN,test,0.16830645549297332,0.946,0.14829375052452087,0.0,
7,6,ANN,train,0.19193468884627024,0.94775,,0.9170791786164045,
7,6,ANN,test,0.20960428714752197,0.9425,,0.0,0.24222265625
7,6,CNN,train,0.07370402594407399,0.9769166666666667,,1.2610928090289235,
7,6,CNN,test,0.07107538476586342,0.9795,,0.0,0.49042578077316284
7,6,SNN,train,0.0888499528169632,0.9753333333333334,0.15207138641675313,3.9920176714658737,
7,6,SNN,test,0.1617624230980873,0.9575,0.15421484267711638,0.0,
7,7,ANN,train,0.171605947693189,0.9543333333333334,,1.097397055476904,
7,7,ANN,test,0.1959604489803314,0.9465,,0.0,0.25027734375
7,7,CNN,train,0.060342282325029376,0.9823333333333333,,1.3236248660832644,
7,7,CNN,test,0.06163527879118919,0.98,,0.0,0.4891718752384186
7,7,SNN,train,0.07108329346279303,0.9793333333333333,0.15624755867322285,10.565186874940991,
7,7,SNN,test,0.15757716554403306,0.955,0.15491581988334654,0.0,
7,8,ANN,train,0.1521467461983363,0.9613333333333334,,0.8187961094081402,
7,8,ANN,test,0.19062707829475403,0.9455,,0.0,0.25292187511920927
7,8,CNN,train,0.05338476710518201,0.9846666666666667,,1.4063870096579194,
7,8,CNN,test,0.07048054948449135,0.9765,,0.0,0.4973750002384186
7,8,SNN,train,0.06093275001148383,0.98275,0.15975748682022095,3.9395678397268057,
7,8,SNN,test,0.16404167354106902,0.956,0.16231660151481628,0.0,
7,9,ANN,train,0.13544093930721282,0.9658333333333333,,0.8169699525460601,
7,9,ANN,test,0.1767224484682083,0.948,,0.0,0.2600820314884186
7,9,CNN,train,0.04646471746265888,0.9859166666666667,,1.4348467644304037,
7,9,CNN,test,0.05680407440662384,0.9825,,0.0,0.5039218754768372
7,9,SNN,train,0.049864675576488174,0.9870833333333333,0.1619300776720047,3.710027159191668,
7,9,SNN,test,0.15314544343948364,0.957,0.16189414024353027,0.0,
7,10,ANN,train,0.12236879646778107,0.9674166666666667,,0.8455314934253693,
7,10,ANN,test,0.17184302437305451,0.9525,,0.0,0.2693828127384186
7,10,CNN,train,0.03896553322672844,0.9875833333333334,,1.2600614121183753,
7,10,CNN,test,0.059705159425735475,0.9815,,0.0,0.5110742197036743
7,10,SNN,train,0.0403225103666385,0.9896666666666667,0.16194638645648957,4.586819984018803,
7,10,SNN,test,0.15328899264335633,0.9555,0.1660763680934906,0.0,
7,11,ANN,train,0.11046276541550955,0.9721666666666666,,1.0503367260098457,
7,11,ANN,test,0.16767259228229522,0.9525,,0.0,0.27001171827316284
7,11,CNN,train,0.032271373758713404,0.9905833333333334,,1.6363999508321285,
7,11,CNN,test,0.0536557107269764,0.9805,,0.0,0.5025195314884185
7,11,SNN,train,0.032423717493812246,0.9918333333333333,0.16182167975107828,4.012670393101871,
7,11,SNN,test,0.13862204092741012,0.963,0.16645937371253966,0.0,
7,12,ANN,train,0.09777941332260767,0.9756666666666667,,0.9739154139533639,
7,12,ANN,test,0.16250516998767853,0.9515,,0.0,0.278328125
7,12,CNN,train,0.024985822464028994,0.9925833333333334,,1.319997502490878,
7,12,CNN,test,0.049784433811903,0.9815,,0.0,0.5005156245231629
7,12,SNN,train,0.025512640682359537,0.9939166666666667,0.16542369763056436,3.713484267704189,
7,12,SNN,test,0.1503258328437805,0.96,0.173276757478714,0.0,
7,13,ANN,train,0.08913150237003963,0.9784166666666667,,0.9447551388293505,
7,13,ANN,test,0.15953150296211244,0.9555,,0.0,0.27899999952316284
7,13,CNN,train,0.024431503827373188,0.99275,,1.3556965570896864,
7,13,CNN,test,0.050143189176917076,0.982,,0.0,0.51218359375
7,13,SNN,train,0.022113129076858362,0.9954166666666666,0.16965299407641093,3.597150624729693,
7,13,SNN,test,0.1466790019273758,0.9605,0.1652769535779953,0.0,
7,14,ANN,train,0.081967629134655,0.9796666666666667,,4.5246919663622975,
7,14,ANN,test,0.15444760489463807,0.956,,0.0,0.2813515622615814
7,14,CNN,train,0.020507565656056007,0.994,,9.700579542666674,
7,14,CNN,test,0.049811181962490084,0.9835,,0.0,0.5069023447036743
7,14,SNN,train,0.017998572915792464,0.9955833333333334,0.16934830669562023,3.768991634249687,
7,14,SNN,test,0.1603212081193924,0.9595,0.17526445424556733,0.0,
7,15,ANN,train,0.07065934577584267,0.983,,0.9446374345570803,
7,15,ANN,test,0.15131718289852142,0.9585,,0.0,0.281015625
7,15,CNN,train,0.016200397572169702,0.9955,,1.2118907487019897,
7,15,CNN,test,0.05670641005039215,0.982,,0.0,0.5069375002384185
7,15,SNN,train,0.015098385775461793,0.9968333333333333,0.17313583985964456,3.7657340187579393,
7,15,SNN,test,0.1524975675344467,0.961,0.17216660130023956,0.0,
13,1,ANN,train,0.882820980946223,0.7995,,0.9104969166219234,
13,1,ANN,test,0.42054501390457155,0.883,,0.0,0.16144921898841857
13,1,CNN,train,0.9752478729486466,0.7213333333333334,,1.307306656613946,
13,1,CNN,test,0.3222726526260376,0.905,,0.0,0.49291015648841857
13,1,SNN,train,0.787386612812678,0.7373333333333333,0.11522470704714458,3.776235932484269,
13,1,SNN,test,0.29414537715911865,0.9175,0.1281011710166931,0.0,
13,2,ANN,train,0.3487957726319631,0.9043333333333333,,0.8039559368044138,
13,2,ANN,test,0.3218763928413391,0.911,,0.0,0.18577734375
13,2,CNN,train,0.26612722472349803,0.9204166666666667,,1.3003527745604515,
13,2,CNN,test,0.20741873621940612,0.9385,,0.0,0.51244140625
13,2,SNN,train,0.22409542485078177,0.9346666666666666,0.12346396472056707,3.797813693061471,
13,2,SNN,test,0.20891748332977295,0.938,0.12770742303133012,0.0,
13,3,ANN,train,0.27746810750166573,0.92125,,0.8555609760805964,
13,3,ANN,test,0.28736335587501527,0.9185,,0.0,0.204796875
13,3,CNN,train,0.169954017440478,0.94775,,1.423172539100051,
13,3,CNN,test,0.1409628953933716,0.958,,0.0,0.5287499995231628
13,3,SNN,train,0.15168449089924493,0.9565,0.13489459586143493,4.056788702495396,
13,3,SNN,test,0.18609157168865204,0.946,0.13500390756130218,0.0,
13,4,ANN,train,0.237325199842453,0.9335,,1.0081635667011142,
13,4,ANN,test,0.2618266602754593,0.926,,0.0,0.21652343738079072
13,4,CNN,train,0.11994794060786565,0.96425,,1.4783902261406183,
13,4,CNN,test,0.10243642866611481,0.967,,0.0,0.5395898432731628
13,4,SNN,train,0.11410344445705414,0.9648333333333333,0.13739537723859152,3.5599402263760567,
13,4,SNN,test,0.16584111762046813,0.952,0.1459537113904953,0.0,
13,5,ANN,train,0.20484711893399557,0.9418333333333333,,0.777557760477066,
13,5,ANN,test,0.24122380805015564,0.93,,0.0,0.22740625023841857
13,5,CNN,train,0.08959350879987081,0.9730833333333333,,1.4561747610569,
